Configuration,OpLat,IssueLat,Threads,SimSeconds,TotalCycles,AvgIPC,TotalInstructions
Fast_Execute_Slow_Issue,1,6,1,N/A,N/A,N/A,N/A
Fast_Execute_Slow_Issue,1,6,2,N/A,N/A,N/A,N/A
Fast_Execute_Slow_Issue,1,6,4,N/A,N/A,N/A,N/A
Fast_Execute_Slow_Issue,1,6,8,N/A,N/A,N/A,N/A
Balanced_Fast_Execute,2,5,1,N/A,N/A,N/A,N/A
Balanced_Fast_Execute,2,5,2,N/A,N/A,N/A,N/A
Balanced_Fast_Execute,2,5,4,N/A,N/A,N/A,N/A
Balanced_Fast_Execute,2,5,8,N/A,N/A,N/A,N/A
Balanced_Center,3,4,1,N/A,N/A,N/A,N/A
Balanced_Center,3,4,2,N/A,N/A,N/A,N/A
Balanced_Center,3,4,4,N/A,N/A,N/A,N/A
Balanced_Center,3,4,8,N/A,N/A,N/A,N/A
Balanced_Fast_Issue,4,3,1,N/A,N/A,N/A,N/A
Balanced_Fast_Issue,4,3,2,N/A,N/A,N/A,N/A
Balanced_Fast_Issue,4,3,4,N/A,N/A,N/A,N/A
Balanced_Fast_Issue,4,3,8,N/A,N/A,N/A,N/A
Slow_Execute_Fast_Issue,5,2,1,N/A,N/A,N/A,N/A
Slow_Execute_Fast_Issue,5,2,2,N/A,N/A,N/A,N/A
Slow_Execute_Fast_Issue,5,2,4,N/A,N/A,N/A,N/A
Slow_Execute_Fast_Issue,5,2,8,N/A,N/A,N/A,N/A
Slowest_Execute_Fastest_Issue,6,1,1,N/A,N/A,N/A,N/A
Slowest_Execute_Fastest_Issue,6,1,2,N/A,N/A,N/A,N/A
Slowest_Execute_Fastest_Issue,6,1,4,N/A,N/A,N/A,N/A
Slowest_Execute_Fastest_Issue,6,1,8,N/A,N/A,N/A,N/A
